id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6909615,Nifty room near Express A train!,36208205,Jakob,Manhattan,Washington Heights,Private room,45,1,1,2015-08-25,0.02,1,0
27285058,Great Private Bedroom in Ridgewood! 3L-3,205530337,Nina,Queens,Ridgewood,Private room,45,30,1,2019-06-01,0.77,8,331
785978,For cat lovers - East Village 1 bdr,953375,Wiebke,Manhattan,East Village,Entire home/apt,135,5,18,2016-11-13,0.24,1,0
30502203,"Clean, Cozy Private Bedroom/Apartment",11332183,Tj,Manhattan,Harlem,Private room,65,3,3,2019-05-27,0.45,1,0
26210593,Bright  4-people room close to Manhattan,178543960,Sergii,Brooklyn,Greenpoint,Shared room,35,30,0,,,10,343
33014236,Chic Room in Trendy EV!,245637171,Min,Manhattan,East Village,Private room,68,30,0,,,8,336
15649021,"Cool private room in Astoria, New York!",14422390,Bill,Queens,Astoria,Private room,49,1,12,2017-07-19,0.37,1,0
16657247,1A. Private Rm in guesthouse Manhattan,7831209,Bobi,Manhattan,East Harlem,Private room,64,1,103,2019-07-02,3.4,10,364
31254505,Spacious Studio Sublet in Hell's Kitchen,77657991,Dawn,Manhattan,Hell's Kitchen,Entire home/apt,104,28,1,2019-04-28,0.42,1,0
10069601,Cozy bedroom in beautiful apartment,13358864,Matthew,Brooklyn,Bedford-Stuyvesant,Private room,60,3,0,,,2,0
32802904,COZY COLORFUL CITY PAD BY ALL TRANSPORTATION LINES,207000645,Tk,Manhattan,East Village,Entire home/apt,190,1,1,2019-05-22,0.63,1,365
7369852,spacious private rooms in 5bd 4bth,9059810,Vlad,Brooklyn,Sheepshead Bay,Private room,85,7,0,,,3,90
27984123,The Space in Brooklyn,57484031,Frederick,Brooklyn,Crown Heights,Private room,250,1,0,,,1,0
29946107,"Spacious, sun-filled apartment in family townhome",3662048,Daphne,Brooklyn,Carroll Gardens,Entire home/apt,147,6,14,2019-06-21,1.84,1,14
36315692,"Premium Chelsea 1BR w/ Gym, W/D, Doorman, Sundeck, Cinema, by Blueground",107434423,Blueground,Manhattan,Midtown,Entire home/apt,338,30,0,,,232,325
9998898,Sunny Modern Beauty with Deck,9108035,Ashley,Brooklyn,Bedford-Stuyvesant,Entire home/apt,93,4,5,2017-07-28,0.12,1,0
3953585,Manhattan Private Room15min=TimesSQ,7580038,Jack Andrew,Manhattan,Harlem,Private room,39,4,33,2019-06-04,0.57,3,292
12009807,Cozy centrally located LES apt,39856008,Tanya,Manhattan,Lower East Side,Entire home/apt,140,1,1,2016-04-17,0.03,1,0
525293,Yankee Nest,2556498,Chris,Bronx,Concourse,Entire home/apt,250,3,119,2019-07-01,1.41,1,339
21818110,阳光之家,159027993,Michelle,Queens,Flushing,Private room,48,4,14,2019-06-14,0.72,2,171
12566262,2 bed apt: heart of Times Square,32503657,Gillian,Manhattan,Hell's Kitchen,Entire home/apt,200,1,0,,,1,0
28314576,"1 Br in Brooklyn, near Williamsburg/Manhattan",3604985,Rebeca,Brooklyn,Greenpoint,Private room,70,1,4,2018-12-31,0.45,1,97
7745868,Private Room in East Williamsburg,7876900,Taylor,Brooklyn,Williamsburg,Private room,45,1,3,2016-03-30,0.06,1,0
20075580,Kew gardens,5016524,Darshan,Queens,Forest Hills,Private room,45,1,2,2017-08-12,0.09,1,0
31987544,"Peaceful Private Bedroom, Upper West Side 107",238321374,Eyal,Manhattan,Upper West Side,Private room,60,30,0,,,32,317
1805261,Flat Iron 2BD Beautiful Apt ,9462127,Krista,Manhattan,Flatiron District,Entire home/apt,475,1,0,,,1,0
4512329,Spacious Room in Sugar Hill,16685925,Douglas,Manhattan,Washington Heights,Private room,49,3,3,2016-07-14,0.05,2,0
29825538,My magical home steps from Times Square,224019631,Victor,Manhattan,Hell's Kitchen,Entire home/apt,150,2,7,2019-06-10,0.91,1,14
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,Private room,69,2,289,2019-06-09,2.49,2,294
16086039,The Coziest Bedroom of The Upper West Side,104838182,Larissa,Manhattan,Upper West Side,Private room,85,7,14,2019-05-18,0.51,1,0
2619802,Incredible 2-BR w/ Kitchen Island!,13347167,AFI Apartments,Manhattan,Upper East Side,Entire home/apt,139,30,4,2018-07-29,0.07,29,308
2657689,Your Amazing Vacation Apartment!,9051298,Lydiah,Manhattan,Harlem,Shared room,100,1,0,,,2,0
3112872,Sunny Studio Near Central Park,2641574,Meredith,Manhattan,Upper West Side,Entire home/apt,215,2,8,2015-06-21,0.13,1,0
3463475,☆ PERFECT MANHATTAN LOCATION NEAR SUBWAY & CAFES!☆,1384256,Jenny,Manhattan,Lower East Side,Entire home/apt,197,1,285,2019-06-30,4.83,1,8
205485,Ideal Brooklyn Brownstone Apartment,1010242,Zora & Chris,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,123,2019-06-11,1.29,1,287
1887489,Gracious Brooklyn Limestone,9818634,Lara,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,175,1,0,,,1,0
33798718,LUX high-rise apt in timesSQ with Huds river view,255173566,Al,Manhattan,Hell's Kitchen,Entire home/apt,199,15,1,2019-04-23,0.38,1,179
19227077,Spacious 1 bedroom apt  fantastic view Midtown NYC,80990325,Terry,Manhattan,Hell's Kitchen,Entire home/apt,175,2,85,2019-06-26,3.43,1,0
12273048,"Central Location,  Time Square, 24 hour doorman",49580011,Amy,Manhattan,Theater District,Entire home/apt,150,28,4,2019-03-09,0.11,1,331
21745569,Convenient Private and Cozy Environment,158406020,Marvin,Brooklyn,East Flatbush,Private room,45,1,15,2019-02-09,0.76,2,269
30443976,Times Square Palace,193986289,Greg,Manhattan,Theater District,Entire home/apt,3000,1,0,,,1,311
9844509,Prospect Park Palace,23806994,Michael,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,2,1,2016-01-02,0.02,1,0
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,Elisabeth,Manhattan,Harlem,Private room,150,3,0,,,1,365
27061623,"Stylish, Minimalist Family Pad in Carroll Gardens",203624751,Christian,Brooklyn,Carroll Gardens,Entire home/apt,180,3,17,2019-06-01,1.45,1,106
5694862,Lovely Brooklyn Room & Private Bath,12419033,Rachel,Brooklyn,Gowanus,Private room,125,2,40,2019-06-13,0.77,1,295
17929219,HEART of West Village! Big + Beautiful TRUE 1 BDRM,28588488,Cannon,Manhattan,West Village,Entire home/apt,395,1,39,2019-06-29,1.43,1,177
32356476,Brooklyn palace,22749766,Raphael,Brooklyn,Williamsburg,Private room,50,1,1,2019-03-11,0.25,1,0
9857658,Sunny 2 bedroom Apt (Chelsea),6355999,Natalie,Manhattan,Chelsea,Entire home/apt,250,2,3,2016-05-16,0.07,1,0
13669161,Comfortable-Private one room in LES,17605950,Denis,Manhattan,Lower East Side,Private room,99,2,48,2018-02-03,1.3,1,0
31946382,LARGE  3Br Williamsburg Apt Mins from Manhattan,239517667,George,Brooklyn,Williamsburg,Entire home/apt,199,2,20,2019-06-23,3.73,1,61
29612248,"Colorful, Sun Drenched Bed Stuy Gem",19920574,Briana,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,4,2,2018-12-31,0.26,1,0
3624952,Oasis in Queens: Private BR/ bath,2574452,Samita,Queens,Jackson Heights,Private room,50,4,2,2014-09-20,0.03,1,0
23054329,Sunny And Spacious! Treat Yourself In Bushwick!,16963843,Martina,Brooklyn,Bushwick,Private room,50,5,14,2018-08-30,0.88,2,0
2017397,☆ DESIGN Spacious ☆ 1 BR Sleeps 4 Brooklyn Museum,2496464,Monica,Brooklyn,Crown Heights,Entire home/apt,150,5,68,2019-07-01,1.07,1,202
15510233,PRIVATE ROOM IN COMFORTABLE APT.,43718548,Manuel,Manhattan,Inwood,Private room,52,3,16,2018-10-15,0.49,1,0
5040919,Furnished room in DUMBO/Fort Greene,26024349,Joyce,Brooklyn,Downtown Brooklyn,Private room,200,1,0,,,1,0
18994641,"Rockaway Chic Houseboat Escape, Serene & Airy!",3339820,Natasha,Queens,Arverne,Entire home/apt,250,2,10,2019-06-23,0.4,1,166
29332188,Huge 4 Bedroom 2 Bathroom Townhouse with Backyard,439827,Jacob,Brooklyn,Greenpoint,Entire home/apt,250,29,0,,,1,0
13986672,Bedroom in industrial huge loft in Greenpoint,1558222,Nikki,Brooklyn,Greenpoint,Private room,70,5,0,,,3,0
3759009,Spacious Studio in West Village!,18270150,Nancy,Manhattan,West Village,Entire home/apt,219,1,68,2019-06-25,1.15,1,122
17076329,"Discount at Manhattan Club NYC,  June 16-19, 2019",2190447,Stacey,Manhattan,Midtown,Entire home/apt,275,7,0,,,1,0
14490720,Amazing apartment in NYC,34264721,Chris,Brooklyn,Sheepshead Bay,Entire home/apt,100,20,0,,,1,364
245504,One Fabulous Private Room,714200,Baron,Manhattan,Inwood,Private room,71,4,229,2019-06-21,2.45,1,26
34196510,Midtown West Hotel - Boutique Queen,252604696,Erin,Manhattan,Chelsea,Private room,199,1,0,,,20,189
13467270,Sunnyside Modern Apartment that sleeps 4 people.,76840954,Angelo,Queens,Sunnyside,Entire home/apt,125,2,17,2019-04-28,0.47,1,56
12972040,BED FOR 1 IN LUXURIOUS PARK AVENUE FLAT,283395,H,Manhattan,Murray Hill,Private room,110,1,31,2017-12-10,0.81,2,189
21728670,Private 1BR w/ Full-sized Bed. Great Location!,158222655,Adam,Brooklyn,Williamsburg,Private room,100,1,69,2019-06-20,3.55,1,85
10476556,Close to zoo and Botanical Gardens,53717769,Travis,Bronx,Parkchester,Entire home/apt,88,1,121,2019-06-23,2.9,1,170
3270009,Private oasis-charming gingerbread home!❤️❤️❤️❤️❤️,16534981,Suzy,Brooklyn,Bedford-Stuyvesant,Entire home/apt,68,30,14,2019-04-19,0.41,5,334
16323461,"Williamsburg Experience, Quick Manhattan Access",20532489,Inese & Michæl,Brooklyn,Williamsburg,Private room,124,2,71,2019-06-07,2.32,1,70
34343752,GORGEOUS WEST CHELSEA TWO BEDROOM with roof deck!,5007316,David,Manhattan,Chelsea,Entire home/apt,195,1,6,2019-06-29,2.77,1,2
7770735,Private Room close to subway (3/3),40874834,Esteban,Queens,Jackson Heights,Private room,75,1,96,2019-06-22,2.06,3,339
13232952,Happy and spacious corner near 7 train,17638424,Sophie,Queens,Elmhurst,Private room,47,1,87,2019-06-04,2.35,8,156
11633801,Prospect Heights Three Bedroom,28808966,Christopher,Brooklyn,Crown Heights,Entire home/apt,180,1,0,,,1,0
4308991,Big Room with Private Bathroom,6195809,Dean,Manhattan,East Village,Private room,149,364,8,2019-01-07,0.17,1,90
2383233,Entire 1400 sq ft Artist Loft - FOUR Private Rooms,10674441,Annie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,27,0,,,2,148
34235450,I rent out brand new 2br/2bath apt in Chinatown,24890474,Stanislav,Manhattan,Chinatown,Entire home/apt,300,2,5,2019-06-20,2.42,1,231
29356840,Creative House for Travelers and Other Creatives,215022472,Andrea,Brooklyn,Bedford-Stuyvesant,Private room,51,4,19,2019-07-01,2.16,1,189
35256322,"Basic Brooklyn 
Safe/Clean/Easy
Accomadations",3199313,A Tree Grows In Brooklyn,Brooklyn,Prospect-Lefferts Gardens,Private room,86,2,0,,,1,179
26123841,East Village Authentic Loft Living Apt,4227314,Alex,Manhattan,East Village,Private room,90,3,28,2019-06-24,2.26,1,6
18585784,Lovely bedroom in Bushwick,11380126,Kwankaew,Brooklyn,Bushwick,Private room,45,1,2,2017-05-31,0.08,1,0
32964403,Private Apt (2 Bedrooms includes 1 Bath & Kitchen),67132329,Brian,Manhattan,Two Bridges,Private room,145,3,19,2019-07-02,5.43,1,42
35190131,BIG 1 BDR Apartment -close to Times Square,5708821,Valentin,Manhattan,Hell's Kitchen,Entire home/apt,150,1,4,2019-06-28,4.0,1,16
20055944,Cozy centrally located room in the East village,3666809,Mercy,Manhattan,East Village,Private room,150,1,6,2018-04-09,0.36,1,0
33216624,Magical Brooklyn Space *20 MIN to Manhattan!*,201407513,Norma-Jean,Brooklyn,Bedford-Stuyvesant,Private room,41,1,6,2019-06-24,1.86,2,79
33398529,Very comfortable  QNS bed judge yourselfg,50375092,Mohamad,Staten Island,Dongan Hills,Private room,65,1,9,2019-05-31,2.62,3,35
4536637,Kosher new studio close to subway,11010205,Jacob,Brooklyn,Bensonhurst,Private room,125,2,4,2018-04-11,0.07,2,0
15259634,Amazing & Clean NYC Private Room by #1 Train,30499687,Jovanni & Natasha,Bronx,North Riverdale,Private room,77,2,9,2017-04-30,0.29,2,0
13379269,A sunny bedroom in a spacious loft,731601,Idil,Queens,Astoria,Private room,40,90,0,,,2,0
19386162,Big Private Bedroom on Roosevelt Island,106948134,Erik,Manhattan,Roosevelt Island,Private room,72,1,12,2019-05-22,0.48,2,0
4129992,Country in the City,20169986,Victoria,Brooklyn,Flatbush,Entire home/apt,85,3,12,2018-09-21,0.21,1,97
30567765,"Bedstuy is the best, where I rest my chest",9334241,George,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,2,2,2019-05-19,0.64,1,177
21305125,Cozy Basement lounge Apt inCambria Heights,154184894,Mike,Queens,Cambria Heights,Private room,120,2,0,,,2,0
24941609,NY’s Highest End Celebrity Building + Balconies!,65562107,Gina,Manhattan,Tribeca,Entire home/apt,1200,5,13,2019-06-15,0.98,1,347
1950311,"Bright, cozy East Williamsburg home",8551260,Hannah,Brooklyn,Williamsburg,Entire home/apt,151,5,39,2019-06-18,0.58,2,0
21710003,Garden 1-Bedroom Apartment in Greenpoint,848748,Sarah,Brooklyn,Greenpoint,Entire home/apt,200,3,30,2019-06-17,1.52,2,101
28050688,Exposed Brick Bushwick Bedroom,45000778,Jordan,Brooklyn,Williamsburg,Private room,75,2,6,2019-05-19,0.61,1,0
